"Date","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","month","day","Ozone","PM2.5"
2017-01-11,"Blackstone","Lee",35.4325,-79.2887,1,11,27,20
2017-01-11,"Bryson City","Swain",35.434767,-83.442133,1,11,NA,49
2017-01-11,"Triple Oak","Wake",35.8652,-78.8197,1,11,NA,43
2017-01-12,"Blackstone","Lee",35.4325,-79.2887,1,12,37,13
2017-01-12,"Bryson City","Swain",35.434767,-83.442133,1,12,NA,41
2017-01-12,"Triple Oak","Wake",35.8652,-78.8197,1,12,NA,28
2017-01-13,"Blackstone","Lee",35.4325,-79.2887,1,13,35,32
2017-01-13,"Bryson City","Swain",35.434767,-83.442133,1,13,NA,53
2017-01-13,"Triple Oak","Wake",35.8652,-78.8197,1,13,NA,45
2017-01-14,"Blackstone","Lee",35.4325,-79.2887,1,14,28,28
2017-01-14,"Bryson City","Swain",35.434767,-83.442133,1,14,NA,52
2017-01-14,"Triple Oak","Wake",35.8652,-78.8197,1,14,NA,32
2017-01-15,"Blackstone","Lee",35.4325,-79.2887,1,15,23,40
2017-01-15,"Bryson City","Swain",35.434767,-83.442133,1,15,NA,43
2017-01-15,"Triple Oak","Wake",35.8652,-78.8197,1,15,NA,35
2017-01-16,"Blackstone","Lee",35.4325,-79.2887,1,16,30,34
2017-01-16,"Bryson City","Swain",35.434767,-83.442133,1,16,NA,64
2017-01-16,"Triple Oak","Wake",35.8652,-78.8197,1,16,NA,32
2017-01-17,"Blackstone","Lee",35.4325,-79.2887,1,17,27,51
2017-01-17,"Bryson City","Swain",35.434767,-83.442133,1,17,NA,53
2017-01-17,"Triple Oak","Wake",35.8652,-78.8197,1,17,NA,58
2017-01-18,"Blackstone","Lee",35.4325,-79.2887,1,18,37,31
2017-01-18,"Bryson City","Swain",35.434767,-83.442133,1,18,NA,29
2017-01-18,"Triple Oak","Wake",35.8652,-78.8197,1,18,NA,34
2017-01-19,"Blackstone","Lee",35.4325,-79.2887,1,19,28,18
2017-01-19,"Bryson City","Swain",35.434767,-83.442133,1,19,NA,32
2017-01-19,"Triple Oak","Wake",35.8652,-78.8197,1,19,NA,20
2017-01-20,"Blackstone","Lee",35.4325,-79.2887,1,20,21,41
2017-01-20,"Bryson City","Swain",35.434767,-83.442133,1,20,NA,40
2017-01-20,"Triple Oak","Wake",35.8652,-78.8197,1,20,NA,51
2017-01-21,"Blackstone","Lee",35.4325,-79.2887,1,21,8,30
2017-01-21,"Bryson City","Swain",35.434767,-83.442133,1,21,NA,44
2017-01-21,"Triple Oak","Wake",35.8652,-78.8197,1,21,NA,34
2017-01-22,"Blackstone","Lee",35.4325,-79.2887,1,22,16,11
2017-01-22,"Bryson City","Swain",35.434767,-83.442133,1,22,NA,23
2017-01-22,"Triple Oak","Wake",35.8652,-78.8197,1,22,NA,18
2017-01-23,"Blackstone","Lee",35.4325,-79.2887,1,23,36,6
2017-01-23,"Bryson City","Swain",35.434767,-83.442133,1,23,NA,15
2017-01-23,"Triple Oak","Wake",35.8652,-78.8197,1,23,NA,10
2017-01-24,"Blackstone","Lee",35.4325,-79.2887,1,24,30,12
2017-01-24,"Bryson City","Swain",35.434767,-83.442133,1,24,NA,20
2017-01-24,"Triple Oak","Wake",35.8652,-78.8197,1,24,NA,9
2017-01-25,"Blackstone","Lee",35.4325,-79.2887,1,25,37,16
2017-01-25,"Bryson City","Swain",35.434767,-83.442133,1,25,NA,34
2017-01-25,"Triple Oak","Wake",35.8652,-78.8197,1,25,NA,39
2017-01-26,"Bryson City","Swain",35.434767,-83.442133,1,26,NA,24
2017-01-26,"Triple Oak","Wake",35.8652,-78.8197,1,26,NA,25
2017-01-27,"Blackstone","Lee",35.4325,-79.2887,1,27,32,15
2017-01-27,"Bryson City","Swain",35.434767,-83.442133,1,27,NA,25
2017-01-27,"Triple Oak","Wake",35.8652,-78.8197,1,27,NA,21
2017-01-28,"Blackstone","Lee",35.4325,-79.2887,1,28,39,22
2017-01-28,"Bryson City","Swain",35.434767,-83.442133,1,28,NA,23
2017-01-28,"Triple Oak","Wake",35.8652,-78.8197,1,28,NA,18
2017-01-29,"Blackstone","Lee",35.4325,-79.2887,1,29,39,23
2017-01-29,"Bryson City","Swain",35.434767,-83.442133,1,29,NA,22
2017-01-29,"Triple Oak","Wake",35.8652,-78.8197,1,29,NA,23
2017-01-30,"Blackstone","Lee",35.4325,-79.2887,1,30,38,17
2017-01-30,"Bryson City","Swain",35.434767,-83.442133,1,30,NA,32
2017-01-30,"Triple Oak","Wake",35.8652,-78.8197,1,30,NA,12
2017-01-31,"Blackstone","Lee",35.4325,-79.2887,1,31,46,36
2017-01-31,"Bryson City","Swain",35.434767,-83.442133,1,31,NA,58
2017-01-31,"Triple Oak","Wake",35.8652,-78.8197,1,31,NA,40
2017-02-01,"Blackstone","Lee",35.4325,-79.2887,2,1,50,54
2017-02-01,"Bryson City","Swain",35.434767,-83.442133,2,1,NA,54
2017-02-01,"Triple Oak","Wake",35.8652,-78.8197,2,1,NA,62
2017-02-02,"Blackstone","Lee",35.4325,-79.2887,2,2,41,50
2017-02-02,"Bryson City","Swain",35.434767,-83.442133,2,2,NA,50
2017-02-02,"Triple Oak","Wake",35.8652,-78.8197,2,2,NA,34
2017-02-03,"Blackstone","Lee",35.4325,-79.2887,2,3,32,32
2017-02-03,"Bryson City","Swain",35.434767,-83.442133,2,3,NA,28
2017-02-03,"Triple Oak","Wake",35.8652,-78.8197,2,3,NA,23
2017-02-04,"Blackstone","Lee",35.4325,-79.2887,2,4,36,83
2017-02-04,"Bryson City","Swain",35.434767,-83.442133,2,4,NA,33
2017-02-04,"Triple Oak","Wake",35.8652,-78.8197,2,4,NA,21
2017-02-05,"Blackstone","Lee",35.4325,-79.2887,2,5,42,55
2017-02-05,"Bryson City","Swain",35.434767,-83.442133,2,5,NA,45
2017-02-05,"Triple Oak","Wake",35.8652,-78.8197,2,5,NA,48
2017-02-06,"Blackstone","Lee",35.4325,-79.2887,2,6,44,59
2017-02-06,"Bryson City","Swain",35.434767,-83.442133,2,6,NA,52
2017-02-06,"Triple Oak","Wake",35.8652,-78.8197,2,6,NA,49
2017-02-07,"Blackstone","Lee",35.4325,-79.2887,2,7,39,57
2017-02-07,"Bryson City","Swain",35.434767,-83.442133,2,7,NA,40
2017-02-07,"Triple Oak","Wake",35.8652,-78.8197,2,7,NA,63
2017-02-08,"Blackstone","Lee",35.4325,-79.2887,2,8,35,28
2017-02-08,"Bryson City","Swain",35.434767,-83.442133,2,8,NA,30
2017-02-08,"Triple Oak","Wake",35.8652,-78.8197,2,8,NA,50
2017-02-09,"Blackstone","Lee",35.4325,-79.2887,2,9,39,15
2017-02-09,"Bryson City","Swain",35.434767,-83.442133,2,9,NA,21
2017-02-09,"Triple Oak","Wake",35.8652,-78.8197,2,9,NA,17
2017-02-10,"Blackstone","Lee",35.4325,-79.2887,2,10,40,30
2017-02-10,"Bryson City","Swain",35.434767,-83.442133,2,10,NA,30
2017-02-10,"Triple Oak","Wake",35.8652,-78.8197,2,10,NA,38
2017-02-11,"Blackstone","Lee",35.4325,-79.2887,2,11,43,41
2017-02-11,"Bryson City","Swain",35.434767,-83.442133,2,11,NA,54
2017-02-11,"Triple Oak","Wake",35.8652,-78.8197,2,11,NA,53
2017-02-12,"Blackstone","Lee",35.4325,-79.2887,2,12,41,54
2017-02-12,"Bryson City","Swain",35.434767,-83.442133,2,12,NA,63
2017-02-12,"Triple Oak","Wake",35.8652,-78.8197,2,12,NA,54
2017-02-13,"Blackstone","Lee",35.4325,-79.2887,2,13,44,12
2017-02-13,"Bryson City","Swain",35.434767,-83.442133,2,13,NA,34
2017-02-13,"Triple Oak","Wake",35.8652,-78.8197,2,13,NA,9
2017-02-14,"Blackstone","Lee",35.4325,-79.2887,2,14,54,56
2017-02-14,"Bryson City","Swain",35.434767,-83.442133,2,14,NA,55
2017-02-14,"Triple Oak","Wake",35.8652,-78.8197,2,14,NA,46
2017-02-15,"Blackstone","Lee",35.4325,-79.2887,2,15,40,50
2017-02-15,"Bryson City","Swain",35.434767,-83.442133,2,15,NA,34
2017-02-15,"Triple Oak","Wake",35.8652,-78.8197,2,15,NA,42
2017-02-16,"Blackstone","Lee",35.4325,-79.2887,2,16,43,NA
2017-02-16,"Bryson City","Swain",35.434767,-83.442133,2,16,NA,25
2017-02-16,"Triple Oak","Wake",35.8652,-78.8197,2,16,NA,15
2017-02-17,"Blackstone","Lee",35.4325,-79.2887,2,17,44,31
2017-02-17,"Bryson City","Swain",35.434767,-83.442133,2,17,NA,47
2017-02-17,"Triple Oak","Wake",35.8652,-78.8197,2,17,NA,28
2017-02-18,"Blackstone","Lee",35.4325,-79.2887,2,18,47,52
2017-02-18,"Bryson City","Swain",35.434767,-83.442133,2,18,NA,54
2017-02-18,"Triple Oak","Wake",35.8652,-78.8197,2,18,NA,52
2017-02-19,"Blackstone","Lee",35.4325,-79.2887,2,19,44,37
2017-02-19,"Bryson City","Swain",35.434767,-83.442133,2,19,NA,47
2017-02-19,"Triple Oak","Wake",35.8652,-78.8197,2,19,NA,30
2017-02-20,"Blackstone","Lee",35.4325,-79.2887,2,20,48,48
2017-02-20,"Bryson City","Swain",35.434767,-83.442133,2,20,NA,40
2017-02-20,"Triple Oak","Wake",35.8652,-78.8197,2,20,NA,74
2017-02-21,"Blackstone","Lee",35.4325,-79.2887,2,21,44,48
2017-02-21,"Bryson City","Swain",35.434767,-83.442133,2,21,NA,51
2017-02-21,"Triple Oak","Wake",35.8652,-78.8197,2,21,NA,52
2017-02-22,"Blackstone","Lee",35.4325,-79.2887,2,22,44,45
2017-02-22,"Bryson City","Swain",35.434767,-83.442133,2,22,NA,46
2017-02-22,"Triple Oak","Wake",35.8652,-78.8197,2,22,NA,38
2017-02-23,"Blackstone","Lee",35.4325,-79.2887,2,23,44,38
2017-02-23,"Bryson City","Swain",35.434767,-83.442133,2,23,NA,38
2017-02-23,"Triple Oak","Wake",35.8652,-78.8197,2,23,NA,35
2017-02-24,"Blackstone","Lee",35.4325,-79.2887,2,24,41,45
2017-02-24,"Bryson City","Swain",35.434767,-83.442133,2,24,NA,35
2017-02-24,"Triple Oak","Wake",35.8652,-78.8197,2,24,NA,32
2017-02-25,"Blackstone","Lee",35.4325,-79.2887,2,25,43,21
2017-02-25,"Bryson City","Swain",35.434767,-83.442133,2,25,NA,23
2017-02-25,"Triple Oak","Wake",35.8652,-78.8197,2,25,NA,26
2017-02-26,"Blackstone","Lee",35.4325,-79.2887,2,26,42,25
2017-02-26,"Bryson City","Swain",35.434767,-83.442133,2,26,NA,20
2017-02-26,"Triple Oak","Wake",35.8652,-78.8197,2,26,NA,15
2017-02-27,"Blackstone","Lee",35.4325,-79.2887,2,27,45,29
2017-02-27,"Bryson City","Swain",35.434767,-83.442133,2,27,NA,41
2017-02-27,"Triple Oak","Wake",35.8652,-78.8197,2,27,NA,31
2017-02-28,"Blackstone","Lee",35.4325,-79.2887,2,28,43,39
2017-02-28,"Bryson City","Swain",35.434767,-83.442133,2,28,NA,43
2017-02-28,"Triple Oak","Wake",35.8652,-78.8197,2,28,NA,36
2017-03-01,"Blackstone","Lee",35.4325,-79.2887,3,1,NA,45
2017-03-01,"Bryson City","Swain",35.434767,-83.442133,3,1,34,33
2017-03-01,"Triple Oak","Wake",35.8652,-78.8197,3,1,NA,53
2017-03-02,"Blackstone","Lee",35.4325,-79.2887,3,2,42,18
2017-03-02,"Bryson City","Swain",35.434767,-83.442133,3,2,40,18
2017-03-02,"Triple Oak","Wake",35.8652,-78.8197,3,2,NA,15
2017-03-03,"Blackstone","Lee",35.4325,-79.2887,3,3,43,29
2017-03-03,"Bryson City","Swain",35.434767,-83.442133,3,3,41,27
2017-03-03,"Triple Oak","Wake",35.8652,-78.8197,3,3,NA,18
2017-03-04,"Blackstone","Lee",35.4325,-79.2887,3,4,41,31
2017-03-04,"Bryson City","Swain",35.434767,-83.442133,3,4,43,41
2017-03-04,"Triple Oak","Wake",35.8652,-78.8197,3,4,NA,23
2017-03-05,"Blackstone","Lee",35.4325,-79.2887,3,5,42,51
2017-03-05,"Bryson City","Swain",35.434767,-83.442133,3,5,50,48
2017-03-05,"Triple Oak","Wake",35.8652,-78.8197,3,5,NA,29
2017-03-06,"Blackstone","Lee",35.4325,-79.2887,3,6,44,52
2017-03-06,"Bryson City","Swain",35.434767,-83.442133,3,6,41,56
2017-03-06,"Triple Oak","Wake",35.8652,-78.8197,3,6,NA,47
2017-03-07,"Blackstone","Lee",35.4325,-79.2887,3,7,48,35
2017-03-07,"Bryson City","Swain",35.434767,-83.442133,3,7,33,42
2017-03-07,"Triple Oak","Wake",35.8652,-78.8197,3,7,NA,43
2017-03-08,"Blackstone","Lee",35.4325,-79.2887,3,8,47,18
2017-03-08,"Bryson City","Swain",35.434767,-83.442133,3,8,44,19
2017-03-08,"Triple Oak","Wake",35.8652,-78.8197,3,8,NA,20
2017-03-09,"Blackstone","Lee",35.4325,-79.2887,3,9,50,23
2017-03-09,"Bryson City","Swain",35.434767,-83.442133,3,9,49,33
2017-03-09,"Triple Oak","Wake",35.8652,-78.8197,3,9,NA,28
2017-03-10,"Blackstone","Lee",35.4325,-79.2887,3,10,44,41
2017-03-10,"Bryson City","Swain",35.434767,-83.442133,3,10,44,36
2017-03-10,"Triple Oak","Wake",35.8652,-78.8197,3,10,NA,40
2017-03-11,"Blackstone","Lee",35.4325,-79.2887,3,11,42,32
2017-03-11,"Bryson City","Swain",35.434767,-83.442133,3,11,39,21
2017-03-11,"Triple Oak","Wake",35.8652,-78.8197,3,11,NA,15
2017-03-12,"Blackstone","Lee",35.4325,-79.2887,3,12,40,31
2017-03-12,"Bryson City","Swain",35.434767,-83.442133,3,12,37,19
2017-03-12,"Triple Oak","Wake",35.8652,-78.8197,3,12,NA,20
2017-03-13,"Blackstone","Lee",35.4325,-79.2887,3,13,34,50
2017-03-13,"Bryson City","Swain",35.434767,-83.442133,3,13,42,27
2017-03-13,"Triple Oak","Wake",35.8652,-78.8197,3,13,NA,37
2017-03-14,"Blackstone","Lee",35.4325,-79.2887,3,14,37,19
2017-03-14,"Bryson City","Swain",35.434767,-83.442133,3,14,39,23
2017-03-14,"Triple Oak","Wake",35.8652,-78.8197,3,14,NA,11
2017-03-15,"Blackstone","Lee",35.4325,-79.2887,3,15,43,33
2017-03-15,"Bryson City","Swain",35.434767,-83.442133,3,15,41,24
2017-03-15,"Triple Oak","Wake",35.8652,-78.8197,3,15,NA,15
2017-03-16,"Blackstone","Lee",35.4325,-79.2887,3,16,45,54
2017-03-16,"Bryson City","Swain",35.434767,-83.442133,3,16,46,33
2017-03-16,"Triple Oak","Wake",35.8652,-78.8197,3,16,NA,29
2017-03-17,"Blackstone","Lee",35.4325,-79.2887,3,17,51,44
2017-03-17,"Bryson City","Swain",35.434767,-83.442133,3,17,32,53
2017-03-17,"Triple Oak","Wake",35.8652,-78.8197,3,17,NA,54
2017-03-18,"Blackstone","Lee",35.4325,-79.2887,3,18,42,66
2017-03-18,"Bryson City","Swain",35.434767,-83.442133,3,18,47,39
2017-03-18,"Triple Oak","Wake",35.8652,-78.8197,3,18,NA,67
2017-03-19,"Blackstone","Lee",35.4325,-79.2887,3,19,36,11
2017-03-19,"Bryson City","Swain",35.434767,-83.442133,3,19,36,20
2017-03-19,"Triple Oak","Wake",35.8652,-78.8197,3,19,NA,13
2017-03-20,"Blackstone","Lee",35.4325,-79.2887,3,20,44,42
2017-03-20,"Bryson City","Swain",35.434767,-83.442133,3,20,34,40
2017-03-20,"Triple Oak","Wake",35.8652,-78.8197,3,20,NA,38
2017-03-21,"Blackstone","Lee",35.4325,-79.2887,3,21,54,55
2017-03-21,"Bryson City","Swain",35.434767,-83.442133,3,21,NA,51
2017-03-21,"Triple Oak","Wake",35.8652,-78.8197,3,21,NA,61
2017-03-22,"Blackstone","Lee",35.4325,-79.2887,3,22,47,25
2017-03-22,"Bryson City","Swain",35.434767,-83.442133,3,22,49,36
2017-03-22,"Triple Oak","Wake",35.8652,-78.8197,3,22,NA,19
2017-03-23,"Blackstone","Lee",35.4325,-79.2887,3,23,46,33
2017-03-23,"Bryson City","Swain",35.434767,-83.442133,3,23,48,34
2017-03-23,"Triple Oak","Wake",35.8652,-78.8197,3,23,NA,20
2017-03-24,"Blackstone","Lee",35.4325,-79.2887,3,24,47,55
2017-03-24,"Bryson City","Swain",35.434767,-83.442133,3,24,44,49
2017-03-24,"Triple Oak","Wake",35.8652,-78.8197,3,24,NA,49
2017-03-25,"Blackstone","Lee",35.4325,-79.2887,3,25,44,42
2017-03-25,"Bryson City","Swain",35.434767,-83.442133,3,25,43,51
2017-03-25,"Triple Oak","Wake",35.8652,-78.8197,3,25,NA,38
2017-03-26,"Blackstone","Lee",35.4325,-79.2887,3,26,43,28
2017-03-26,"Bryson City","Swain",35.434767,-83.442133,3,26,43,29
2017-03-26,"Triple Oak","Wake",35.8652,-78.8197,3,26,NA,20
2017-03-27,"Blackstone","Lee",35.4325,-79.2887,3,27,42,27
2017-03-27,"Bryson City","Swain",35.434767,-83.442133,3,27,34,40
2017-03-27,"Triple Oak","Wake",35.8652,-78.8197,3,27,NA,32
2017-03-28,"Blackstone","Lee",35.4325,-79.2887,3,28,46,18
2017-03-28,"Bryson City","Swain",35.434767,-83.442133,3,28,47,25
2017-03-28,"Triple Oak","Wake",35.8652,-78.8197,3,28,NA,29
2017-03-29,"Blackstone","Lee",35.4325,-79.2887,3,29,47,30
2017-03-29,"Bryson City","Swain",35.434767,-83.442133,3,29,47,26
2017-03-29,"Triple Oak","Wake",35.8652,-78.8197,3,29,NA,28
2017-03-30,"Blackstone","Lee",35.4325,-79.2887,3,30,43,36
2017-03-30,"Bryson City","Swain",35.434767,-83.442133,3,30,44,41
2017-03-30,"Triple Oak","Wake",35.8652,-78.8197,3,30,NA,33
2017-03-31,"Blackstone","Lee",35.4325,-79.2887,3,31,44,14
2017-03-31,"Bryson City","Swain",35.434767,-83.442133,3,31,38,19
2017-03-31,"Triple Oak","Wake",35.8652,-78.8197,3,31,NA,21
2017-04-01,"Blackstone","Lee",35.4325,-79.2887,4,1,44,8
2017-04-01,"Bryson City","Swain",35.434767,-83.442133,4,1,42,21
2017-04-01,"Triple Oak","Wake",35.8652,-78.8197,4,1,NA,10
2017-04-02,"Blackstone","Lee",35.4325,-79.2887,4,2,41,15
2017-04-02,"Bryson City","Swain",35.434767,-83.442133,4,2,44,24
2017-04-02,"Triple Oak","Wake",35.8652,-78.8197,4,2,NA,16
2017-04-03,"Blackstone","Lee",35.4325,-79.2887,4,3,42,29
2017-04-03,"Bryson City","Swain",35.434767,-83.442133,4,3,36,27
2017-04-03,"Triple Oak","Wake",35.8652,-78.8197,4,3,NA,26
2017-04-04,"Blackstone","Lee",35.4325,-79.2887,4,4,45,16
2017-04-04,"Bryson City","Swain",35.434767,-83.442133,4,4,47,29
2017-04-04,"Triple Oak","Wake",35.8652,-78.8197,4,4,NA,28
2017-04-05,"Blackstone","Lee",35.4325,-79.2887,4,5,32,40
2017-04-05,"Bryson City","Swain",35.434767,-83.442133,4,5,34,33
2017-04-05,"Triple Oak","Wake",35.8652,-78.8197,4,5,NA,47
2017-04-06,"Blackstone","Lee",35.4325,-79.2887,4,6,38,10
2017-04-06,"Bryson City","Swain",35.434767,-83.442133,4,6,39,17
2017-04-06,"Triple Oak","Wake",35.8652,-78.8197,4,6,NA,13
2017-04-07,"Blackstone","Lee",35.4325,-79.2887,4,7,43,11
2017-04-07,"Bryson City","Swain",35.434767,-83.442133,4,7,45,18
2017-04-07,"Triple Oak","Wake",35.8652,-78.8197,4,7,NA,9
2017-04-08,"Blackstone","Lee",35.4325,-79.2887,4,8,51,18
2017-04-08,"Bryson City","Swain",35.434767,-83.442133,4,8,51,28
2017-04-08,"Triple Oak","Wake",35.8652,-78.8197,4,8,NA,16
2017-04-09,"Blackstone","Lee",35.4325,-79.2887,4,9,64,33
2017-04-09,"Bryson City","Swain",35.434767,-83.442133,4,9,58,32
2017-04-09,"Triple Oak","Wake",35.8652,-78.8197,4,9,NA,35
2017-04-10,"Blackstone","Lee",35.4325,-79.2887,4,10,58,30
2017-04-10,"Bryson City","Swain",35.434767,-83.442133,4,10,71,41
2017-04-10,"Triple Oak","Wake",35.8652,-78.8197,4,10,NA,48
2017-04-11,"Blackstone","Lee",35.4325,-79.2887,4,11,47,31
2017-04-11,"Bryson City","Swain",35.434767,-83.442133,4,11,61,53
2017-04-11,"Triple Oak","Wake",35.8652,-78.8197,4,11,NA,52
2017-04-12,"Blackstone","Lee",35.4325,-79.2887,4,12,46,26
2017-04-12,"Bryson City","Swain",35.434767,-83.442133,4,12,54,38
2017-04-12,"Triple Oak","Wake",35.8652,-78.8197,4,12,NA,38
2017-04-13,"Blackstone","Lee",35.4325,-79.2887,4,13,51,NA
2017-04-13,"Bryson City","Swain",35.434767,-83.442133,4,13,61,37
2017-04-13,"Triple Oak","Wake",35.8652,-78.8197,4,13,NA,44
2017-04-14,"Blackstone","Lee",35.4325,-79.2887,4,14,45,NA
2017-04-14,"Bryson City","Swain",35.434767,-83.442133,4,14,71,55
2017-04-14,"Triple Oak","Wake",35.8652,-78.8197,4,14,NA,38
2017-04-15,"Blackstone","Lee",35.4325,-79.2887,4,15,48,NA
2017-04-15,"Bryson City","Swain",35.434767,-83.442133,4,15,51,44
2017-04-15,"Triple Oak","Wake",35.8652,-78.8197,4,15,NA,43
2017-04-16,"Blackstone","Lee",35.4325,-79.2887,4,16,48,NA
2017-04-16,"Bryson City","Swain",35.434767,-83.442133,4,16,44,43
2017-04-16,"Triple Oak","Wake",35.8652,-78.8197,4,16,NA,58
2017-04-17,"Blackstone","Lee",35.4325,-79.2887,4,17,46,NA
2017-04-17,"Bryson City","Swain",35.434767,-83.442133,4,17,34,41
2017-04-17,"Triple Oak","Wake",35.8652,-78.8197,4,17,NA,43
2017-04-18,"Blackstone","Lee",35.4325,-79.2887,4,18,43,NA
2017-04-18,"Bryson City","Swain",35.434767,-83.442133,4,18,32,25
2017-04-18,"Triple Oak","Wake",35.8652,-78.8197,4,18,NA,29
2017-04-19,"Blackstone","Lee",35.4325,-79.2887,4,19,31,34
2017-04-19,"Bryson City","Swain",35.434767,-83.442133,4,19,35,41
2017-04-19,"Triple Oak","Wake",35.8652,-78.8197,4,19,NA,33
2017-04-20,"Blackstone","Lee",35.4325,-79.2887,4,20,41,40
2017-04-20,"Bryson City","Swain",35.434767,-83.442133,4,20,37,45
2017-04-20,"Triple Oak","Wake",35.8652,-78.8197,4,20,NA,51
2017-04-21,"Blackstone","Lee",35.4325,-79.2887,4,21,45,42
2017-04-21,"Bryson City","Swain",35.434767,-83.442133,4,21,34,45
2017-04-21,"Triple Oak","Wake",35.8652,-78.8197,4,21,NA,55
2017-04-22,"Blackstone","Lee",35.4325,-79.2887,4,22,42,39
2017-04-22,"Bryson City","Swain",35.434767,-83.442133,4,22,42,27
2017-04-22,"Triple Oak","Wake",35.8652,-78.8197,4,22,NA,36
2017-04-23,"Blackstone","Lee",35.4325,-79.2887,4,23,23,20
2017-04-23,"Bryson City","Swain",35.434767,-83.442133,4,23,28,7
2017-04-23,"Triple Oak","Wake",35.8652,-78.8197,4,23,NA,9
2017-04-24,"Blackstone","Lee",35.4325,-79.2887,4,24,22,5
2017-04-24,"Bryson City","Swain",35.434767,-83.442133,4,24,32,16
2017-04-25,"Blackstone","Lee",35.4325,-79.2887,4,25,25,3
2017-04-25,"Bryson City","Swain",35.434767,-83.442133,4,25,33,13
2017-04-26,"Blackstone","Lee",35.4325,-79.2887,4,26,36,20
2017-04-26,"Bryson City","Swain",35.434767,-83.442133,4,26,50,24
2017-04-26,"Triple Oak","Wake",35.8652,-78.8197,4,26,NA,20
2017-04-27,"Blackstone","Lee",35.4325,-79.2887,4,27,46,41
2017-04-27,"Bryson City","Swain",35.434767,-83.442133,4,27,27,43
2017-04-27,"Triple Oak","Wake",35.8652,-78.8197,4,27,NA,60
2017-04-28,"Blackstone","Lee",35.4325,-79.2887,4,28,38,48
2017-04-28,"Bryson City","Swain",35.434767,-83.442133,4,28,44,40
2017-04-28,"Triple Oak","Wake",35.8652,-78.8197,4,28,NA,66
2017-04-29,"Blackstone","Lee",35.4325,-79.2887,4,29,31,45
2017-04-29,"Bryson City","Swain",35.434767,-83.442133,4,29,40,57
2017-04-29,"Triple Oak","Wake",35.8652,-78.8197,4,29,NA,64
2017-04-30,"Blackstone","Lee",35.4325,-79.2887,4,30,22,21
2017-04-30,"Bryson City","Swain",35.434767,-83.442133,4,30,33,35
2017-04-30,"Triple Oak","Wake",35.8652,-78.8197,4,30,NA,34
2017-05-01,"Blackstone","Lee",35.4325,-79.2887,5,1,28,15
2017-05-01,"Bryson City","Swain",35.434767,-83.442133,5,1,58,23
2017-05-01,"Triple Oak","Wake",35.8652,-78.8197,5,1,NA,36
2017-05-02,"Blackstone","Lee",35.4325,-79.2887,5,2,48,27
2017-05-02,"Bryson City","Swain",35.434767,-83.442133,5,2,48,17
2017-05-02,"Triple Oak","Wake",35.8652,-78.8197,5,2,NA,22
2017-05-03,"Blackstone","Lee",35.4325,-79.2887,5,3,49,32
2017-05-03,"Bryson City","Swain",35.434767,-83.442133,5,3,NA,20
2017-05-03,"Triple Oak","Wake",35.8652,-78.8197,5,3,NA,22
2017-05-04,"Blackstone","Lee",35.4325,-79.2887,5,4,48,25
2017-05-04,"Bryson City","Swain",35.434767,-83.442133,5,4,NA,29
2017-05-04,"Triple Oak","Wake",35.8652,-78.8197,5,4,NA,26
2017-05-05,"Blackstone","Lee",35.4325,-79.2887,5,5,39,13
2017-05-05,"Bryson City","Swain",35.434767,-83.442133,5,5,NA,10
